Indicator,Year,Values,State,LGA,Months
Measles 2 Dose Coverage (Annualized),2019,11,Akwa-Ibom,Ikot Abasi,NA
Measles 2 Dose Coverage (Annualized),2019,12.2,Akwa-Ibom,Ikot Ekpene,NA
Measles 2 Dose Coverage (Annualized),2019,14.7,Akwa-Ibom,Ini,NA
Measles 2 Dose Coverage (Annualized),2019,10.5,Akwa-Ibom,Itu,NA
Measles 2 Dose Coverage (Annualized),2019,19.5,Akwa-Ibom,Mbo,NA
Measles 2 Dose Coverage (Annualized),2019,13,Akwa-Ibom,Mkpat Enin,NA
Measles 2 Dose Coverage (Annualized),2019,21.1,Akwa-Ibom,Nsit Atai,NA
Measles 2 Dose Coverage (Annualized),2019,19.6,Akwa-Ibom,Nsit Ibom,NA
Measles 2 Dose Coverage (Annualized),2019,13.3,Akwa-Ibom,Nsit Ubium,NA
Measles 2 Dose Coverage (Annualized),2019,13.6,Akwa-Ibom,Obot Akara,NA
Measles 2 Dose Coverage (Annualized),2019,8.2,Akwa-Ibom,Okobo,NA
Measles 2 Dose Coverage (Annualized),2019,16.7,Akwa-Ibom,Onna,NA
Measles 2 Dose Coverage (Annualized),2019,29.5,Akwa-Ibom,Oron,NA
Measles 2 Dose Coverage (Annualized),2019,13.5,Akwa-Ibom,Oruk Anam,NA
Measles 2 Dose Coverage (Annualized),2019,8.4,Akwa-Ibom,Udung Uko,NA
Measles 2 Dose Coverage (Annualized),2019,6.6,Akwa-Ibom,Ukanafun,NA
Measles 2 Dose Coverage (Annualized),2019,10,Akwa-Ibom,Uruan,NA
Measles 2 Dose Coverage (Annualized),2019,10.4,Akwa-Ibom,Urue-Offong/Oruko,NA
Measles 2 Dose Coverage (Annualized),2019,8.7,Akwa-Ibom,Uyo,NA
Measles 2 Dose Coverage (Annualized),2019,7.1,Anambra,Aguata,NA
Measles 2 Dose Coverage (Annualized),2019,33.5,Anambra,Anambra East,NA
Measles 2 Dose Coverage (Annualized),2019,9.9,Anambra,Anambra West,NA
Measles 2 Dose Coverage (Annualized),2019,22,Anambra,Anaocha,NA
Measles 2 Dose Coverage (Annualized),2019,24.7,Anambra,Awka North,NA
Measles 2 Dose Coverage (Annualized),2019,41.9,Anambra,Awka South,NA
Measles 2 Dose Coverage (Annualized),2019,41.6,Anambra,Ayamelum,NA
Measles 2 Dose Coverage (Annualized),2019,13.2,Anambra,Dunukofia,NA
Measles 2 Dose Coverage (Annualized),2019,3.1,Anambra,Ekwusigo,NA
Measles 2 Dose Coverage (Annualized),2019,1.6,Anambra,Idemili North,NA
Measles 2 Dose Coverage (Annualized),2019,26.1,Anambra,Idemili South,NA
Measles 2 Dose Coverage (Annualized),2019,13.1,Anambra,Ihiala,NA
Measles 2 Dose Coverage (Annualized),2019,22.2,Anambra,Njikoka,NA
Measles 2 Dose Coverage (Annualized),2019,21.4,Anambra,Nnewi North,NA
Measles 2 Dose Coverage (Annualized),2019,0.6,Anambra,Nnewi South,NA
Measles 2 Dose Coverage (Annualized),2019,27.4,Anambra,Ogbaru,NA
Measles 2 Dose Coverage (Annualized),2019,11.7,Anambra,Onitsha North,NA
Measles 2 Dose Coverage (Annualized),2019,15,Anambra,Onitsha South,NA
Measles 2 Dose Coverage (Annualized),2019,14.5,Anambra,Orumba North,NA
Measles 2 Dose Coverage (Annualized),2019,12.2,Anambra,Orumba South,NA
Measles 2 Dose Coverage (Annualized),2019,0.15,Anambra,Oyi,NA
Measles 2 Dose Coverage (Annualized),2019,0.04,Bauchi,Bauchi,NA
Measles 2 Dose Coverage (Annualized),2019,0.86,Bauchi,Bogoro,NA
Measles 2 Dose Coverage (Annualized),2019,1.1,Bauchi,Dambam,NA
Measles 2 Dose Coverage (Annualized),2019,0.09,Bauchi,Darazo,NA
Measles 2 Dose Coverage (Annualized),2019,0.59,Bauchi,Dass,NA
Measles 2 Dose Coverage (Annualized),2019,0.01,Bauchi,Gamawa,NA
Measles 2 Dose Coverage (Annualized),2019,0.09,Bauchi,Ganjuwa,NA
Measles 2 Dose Coverage (Annualized),2019,0.27,Bauchi,Itas/Gadau,NA
Measles 2 Dose Coverage (Annualized),2019,0.04,Bauchi,Katagum,NA
Measles 2 Dose Coverage (Annualized),2019,0.34,Bauchi,Misau,NA
Measles 2 Dose Coverage (Annualized),2019,0.15,Bauchi,Ningi,NA
Measles 2 Dose Coverage (Annualized),2019,0.57,Bauchi,Shira,NA
Measles 2 Dose Coverage (Annualized),2019,0.01,Bauchi,Tafawa-Balewa,NA
Measles 2 Dose Coverage (Annualized),2019,0.41,Bauchi,Toro,NA
Measles 2 Dose Coverage (Annualized),2019,0.93,Bauchi,Warji,NA
Measles 2 Dose Coverage (Annualized),2019,0.57,Bauchi,Zaki,NA
Measles 2 Dose Coverage (Annualized),2019,1.6,Benue,Ado,NA
Measles 2 Dose Coverage (Annualized),2019,0.13,Benue,Agatu,NA
Measles 2 Dose Coverage (Annualized),2019,1.8,Benue,Apa,NA
Measles 2 Dose Coverage (Annualized),2019,0.08,Benue,Buruku,NA
Measles 2 Dose Coverage (Annualized),2019,0.3,Benue,Gboko,NA
Measles 2 Dose Coverage (Annualized),2019,1.1,Benue,Guma,NA
Measles 2 Dose Coverage (Annualized),2019,2.9,Benue,Gwer East,NA
Measles 2 Dose Coverage (Annualized),2019,2.3,Benue,Gwer West,NA
Measles 2 Dose Coverage (Annualized),2019,0.08,Benue,Katsina-Ala,NA
Measles 2 Dose Coverage (Annualized),2019,0.51,Benue,Konshisha,NA
Measles 2 Dose Coverage (Annualized),2019,1.5,Benue,Kwande,NA
Measles 2 Dose Coverage (Annualized),2019,0.74,Benue,Logo,NA
Measles 2 Dose Coverage (Annualized),2019,1.5,Benue,Makurdi,NA
Measles 2 Dose Coverage (Annualized),2019,0.93,Benue,Obi,NA
Measles 2 Dose Coverage (Annualized),2019,1.3,Benue,Ohimini,NA
Measles 2 Dose Coverage (Annualized),2019,0.38,Benue,Oju,NA
Measles 2 Dose Coverage (Annualized),2019,0.16,Benue,Okpokwu,NA
Measles 2 Dose Coverage (Annualized),2019,0.5,Benue,Otukpo,NA
Measles 2 Dose Coverage (Annualized),2019,1.4,Benue,Tarka,NA
Measles 2 Dose Coverage (Annualized),2019,0.07,Benue,Ukum,NA
Measles 2 Dose Coverage (Annualized),2019,0.96,Benue,Ushongo,NA
Measles 2 Dose Coverage (Annualized),2019,0.02,Benue,Vandeikya,NA
Measles 2 Dose Coverage (Annualized),2019,0.72,Borno,Askira/Uba,NA
Measles 2 Dose Coverage (Annualized),2019,2.2,Borno,Bayo,NA
Measles 2 Dose Coverage (Annualized),2019,2.7,Borno,Mafa,NA
Measles 2 Dose Coverage (Annualized),2019,0.27,Borno,Shani,NA
Measles 2 Dose Coverage (Annualized),2019,8.9,Bayelsa,Brass,NA
Measles 2 Dose Coverage (Annualized),2019,3.4,Bayelsa,Ekeremor,NA
Measles 2 Dose Coverage (Annualized),2019,11.2,Bayelsa,Kolokuma/Opokuma,NA
Measles 2 Dose Coverage (Annualized),2019,13.1,Bayelsa,Nembe,NA
Measles 2 Dose Coverage (Annualized),2019,10.8,Bayelsa,Ogbia,NA
Measles 2 Dose Coverage (Annualized),2019,21.6,Bayelsa,Sagbama,NA
Measles 2 Dose Coverage (Annualized),2019,7.8,Bayelsa,Southern Ijaw,NA
Measles 2 Dose Coverage (Annualized),2019,12.1,Bayelsa,Yenagoa,NA
Measles 2 Dose Coverage (Annualized),2019,17.1,Cross River,Abi,NA
Measles 2 Dose Coverage (Annualized),2019,27.9,Cross River,Akamkpa,NA
Measles 2 Dose Coverage (Annualized),2019,6.7,Cross River,Akpabuyo,NA
Measles 2 Dose Coverage (Annualized),2019,51.3,Cross River,Bakassi,NA
Measles 2 Dose Coverage (Annualized),2019,10,Cross River,Bekwarra,NA
Measles 2 Dose Coverage (Annualized),2019,14.9,Cross River,Biase,NA
Measles 2 Dose Coverage (Annualized),2019,15.8,Cross River,Boki,NA
Measles 2 Dose Coverage (Annualized),2019,29.8,Cross River,Calabar Municipal,NA
Measles 2 Dose Coverage (Annualized),2019,32.7,Cross River,Calabar South,NA
Measles 2 Dose Coverage (Annualized),2019,17.8,Cross River,Etung,NA
Measles 2 Dose Coverage (Annualized),2019,25.5,Cross River,Ikom,NA
Measles 2 Dose Coverage (Annualized),2019,12.2,Cross River,Obanliku,NA
Measles 2 Dose Coverage (Annualized),2019,20,Cross River,Obudu,NA
Measles 2 Dose Coverage (Annualized),2019,30.2,Cross River,Odukpani,NA
Measles 2 Dose Coverage (Annualized),2019,45.1,Cross River,Ogoja,NA
Measles 2 Dose Coverage (Annualized),2019,24.8,Cross River,Yakurr,NA
Measles 2 Dose Coverage (Annualized),2019,30.1,Delta,Aniocha North,NA
Measles 2 Dose Coverage (Annualized),2019,14.7,Delta,Aniocha South,NA
Measles 2 Dose Coverage (Annualized),2019,48.9,Delta,Bomadi,NA
Measles 2 Dose Coverage (Annualized),2019,12.8,Delta,Burutu,NA
Measles 2 Dose Coverage (Annualized),2019,11.3,Delta,Ethiope East,NA
Measles 2 Dose Coverage (Annualized),2019,19.6,Delta,Ethiope West,NA
Measles 2 Dose Coverage (Annualized),2019,13.2,Delta,Ika North East,NA
Measles 2 Dose Coverage (Annualized),2019,13.6,Delta,Ika South,NA
Measles 2 Dose Coverage (Annualized),2019,3,Delta,Isoko North,NA
Measles 2 Dose Coverage (Annualized),2019,13.6,Delta,Isoko South,NA
Measles 2 Dose Coverage (Annualized),2019,15.3,Delta,Ndokwa East,NA
Measles 2 Dose Coverage (Annualized),2019,20.9,Delta,Ndokwa West,NA
Measles 2 Dose Coverage (Annualized),2019,19,Delta,Okpe,NA
Measles 2 Dose Coverage (Annualized),2019,15.3,Delta,Oshimili North,NA
Measles 2 Dose Coverage (Annualized),2019,23.2,Delta,Oshimili South,NA
Measles 2 Dose Coverage (Annualized),2019,9.4,Delta,Patani,NA
Measles 2 Dose Coverage (Annualized),2019,21.3,Delta,Sapele,NA
Measles 2 Dose Coverage (Annualized),2019,19.1,Delta,Udu,NA
Measles 2 Dose Coverage (Annualized),2019,19.3,Delta,Ughelli North,NA
Measles 2 Dose Coverage (Annualized),2019,22.9,Delta,Ughelli South,NA
Measles 2 Dose Coverage (Annualized),2019,14.5,Delta,Ukwuani,NA
Measles 2 Dose Coverage (Annualized),2019,22.4,Delta,Uvwie,NA
Measles 2 Dose Coverage (Annualized),2019,19.5,Delta,Warri North,NA
Measles 2 Dose Coverage (Annualized),2019,36.6,Delta,Warri South,NA
Measles 2 Dose Coverage (Annualized),2019,6.3,Delta,Warri South West,NA
Measles 2 Dose Coverage (Annualized),2019,18.3,Ebonyi,Abakaliki,NA
Measles 2 Dose Coverage (Annualized),2019,26,Ebonyi,Afikpo North,NA
Measles 2 Dose Coverage (Annualized),2019,43,Ebonyi,Afikpo South,NA
Measles 2 Dose Coverage (Annualized),2019,46.9,Ebonyi,Ebonyi,NA
Measles 2 Dose Coverage (Annualized),2019,33,Ebonyi,Ezza North,NA
Measles 2 Dose Coverage (Annualized),2019,41.3,Ebonyi,Ezza South,NA
Measles 2 Dose Coverage (Annualized),2019,25.5,Ebonyi,Ikwo,NA
Measles 2 Dose Coverage (Annualized),2019,27.4,Ebonyi,Ishielu,NA
Measles 2 Dose Coverage (Annualized),2019,57.8,Ebonyi,Ivo,NA
Measles 2 Dose Coverage (Annualized),2019,25.6,Ebonyi,Izzi,NA
Measles 2 Dose Coverage (Annualized),2019,61.8,Ebonyi,Ohaozara,NA
Measles 2 Dose Coverage (Annualized),2019,45.6,Ebonyi,Ohaukwu,NA
Measles 2 Dose Coverage (Annualized),2019,51.8,Ebonyi,Onicha,NA
Measles 2 Dose Coverage (Annualized),2019,20.6,Edo,Akoko-Edo,NA
Measles 2 Dose Coverage (Annualized),2019,5.2,Edo,Egor,NA
Measles 2 Dose Coverage (Annualized),2019,28.3,Edo,Esan Central,NA
Measles 2 Dose Coverage (Annualized),2019,11.5,Edo,Esan North-East,NA
Measles 2 Dose Coverage (Annualized),2019,5.1,Edo,Esan South-East,NA
Measles 2 Dose Coverage (Annualized),2019,19.2,Edo,Esan West,NA
Measles 2 Dose Coverage (Annualized),2019,16.6,Edo,Etsako Central,NA
Measles 2 Dose Coverage (Annualized),2019,12,Edo,Etsako East,NA
Measles 2 Dose Coverage (Annualized),2019,13.8,Edo,Etsako West,NA
Measles 2 Dose Coverage (Annualized),2019,12.6,Edo,Igueben,NA
Measles 2 Dose Coverage (Annualized),2019,15.8,Edo,Ikpoba-Okha,NA
Measles 2 Dose Coverage (Annualized),2019,10.2,Edo,Oredo,NA
Measles 2 Dose Coverage (Annualized),2019,8.1,Edo,Orhionmwon,NA
Measles 2 Dose Coverage (Annualized),2019,23.8,Edo,Ovia North-East,NA
Measles 2 Dose Coverage (Annualized),2019,10,Edo,Ovia South-West,NA
Measles 2 Dose Coverage (Annualized),2019,10,Edo,Owan East,NA
Measles 2 Dose Coverage (Annualized),2019,17.3,Edo,Owan West,NA
Measles 2 Dose Coverage (Annualized),2019,7.3,Edo,Uhunmwonde,NA
Measles 2 Dose Coverage (Annualized),2019,15.6,Ekiti,Ado Ekiti,NA
Measles 2 Dose Coverage (Annualized),2019,10.7,Ekiti,Aiyekire (Gbonyin),NA
Measles 2 Dose Coverage (Annualized),2019,33.4,Ekiti,Efon,NA
Measles 2 Dose Coverage (Annualized),2019,7.2,Ekiti,Ekiti East,NA
Measles 2 Dose Coverage (Annualized),2019,11.6,Ekiti,Ekiti South West,NA
Measles 2 Dose Coverage (Annualized),2019,8.6,Ekiti,Ekiti West,NA
Measles 2 Dose Coverage (Annualized),2019,12.3,Ekiti,Emure,NA
Measles 2 Dose Coverage (Annualized),2019,10.7,Ekiti,Ido-Osi,NA
Measles 2 Dose Coverage (Annualized),2019,0.13,Ekiti,Ijero,NA
Measles 2 Dose Coverage (Annualized),2019,8.8,Ekiti,Ikere,NA
Measles 2 Dose Coverage (Annualized),2019,1.8,Ekiti,Ikole,NA
Measles 2 Dose Coverage (Annualized),2019,18.3,Ekiti,Ilejemeje,NA
Measles 2 Dose Coverage (Annualized),2019,9.4,Ekiti,Irepodun/Ifelodun,NA
Measles 2 Dose Coverage (Annualized),2019,13.5,Ekiti,Ise/Orun,NA
Measles 2 Dose Coverage (Annualized),2019,10.6,Ekiti,Moba,NA
Measles 2 Dose Coverage (Annualized),2019,9.6,Ekiti,Oye,NA
Measles 2 Dose Coverage (Annualized),2019,9.4,Enugu,Aninri,NA
Measles 2 Dose Coverage (Annualized),2019,12.2,Enugu,Awgu,NA
Measles 2 Dose Coverage (Annualized),2019,14.5,Enugu,Enugu East,NA
Measles 2 Dose Coverage (Annualized),2019,11.1,Enugu,Enugu North,NA
Measles 2 Dose Coverage (Annualized),2019,15.3,Enugu,Enugu South,NA
Measles 2 Dose Coverage (Annualized),2019,7.1,Enugu,Ezeagu,NA
Measles 2 Dose Coverage (Annualized),2019,19.5,Enugu,Igbo-Etiti,NA
Measles 2 Dose Coverage (Annualized),2019,20.6,Enugu,Igbo-Eze North,NA
Measles 2 Dose Coverage (Annualized),2019,30.9,Enugu,Igbo-Eze South,NA
Measles 2 Dose Coverage (Annualized),2019,11,Enugu,Isi-Uzo,NA
Measles 2 Dose Coverage (Annualized),2019,13,Enugu,Nkanu East,NA
Measles 2 Dose Coverage (Annualized),2019,10.2,Enugu,Nkanu West,NA
Measles 2 Dose Coverage (Annualized),2019,13.8,Enugu,Nsukka,NA
Measles 2 Dose Coverage (Annualized),2019,18.2,Enugu,Oji River,NA
Measles 2 Dose Coverage (Annualized),2019,11.4,Enugu,Udenu,NA
Measles 2 Dose Coverage (Annualized),2019,15.1,Enugu,Udi,NA
Measles 2 Dose Coverage (Annualized),2019,21.8,Enugu,Uzo-Uwani,NA
Measles 2 Dose Coverage (Annualized),2019,3.7,Federal Capital Territory,Abaji,NA
Measles 2 Dose Coverage (Annualized),2019,4.6,Federal Capital Territory,Abuja Municipal,NA
Measles 2 Dose Coverage (Annualized),2019,8.6,Federal Capital Territory,Bwari,NA
Measles 2 Dose Coverage (Annualized),2019,2.4,Federal Capital Territory,Gwagwalada,NA
Measles 2 Dose Coverage (Annualized),2019,5.1,Federal Capital Territory,Kuje,NA
Measles 2 Dose Coverage (Annualized),2019,1.3,Federal Capital Territory,Kwali,NA
Measles 2 Dose Coverage (Annualized),2019,0.48,Gombe,Akko,NA
Measles 2 Dose Coverage (Annualized),2019,4,Gombe,Balanga,NA
Measles 2 Dose Coverage (Annualized),2019,0.91,Gombe,Billiri,NA
Measles 2 Dose Coverage (Annualized),2019,22.6,Gombe,Dukku,NA
Measles 2 Dose Coverage (Annualized),2019,5.4,Gombe,Funakaye,NA
Measles 2 Dose Coverage (Annualized),2019,10.5,Gombe,Gombe,NA
Measles 2 Dose Coverage (Annualized),2019,1.7,Gombe,Kaltungo,NA
Measles 2 Dose Coverage (Annualized),2019,2,Gombe,Kwami,NA
Measles 2 Dose Coverage (Annualized),2019,1.4,Gombe,Nafada,NA
Measles 2 Dose Coverage (Annualized),2019,0.67,Gombe,Shongom,NA
Measles 2 Dose Coverage (Annualized),2019,3.5,Gombe,Yamaltu/Deba,NA
Measles 2 Dose Coverage (Annualized),2019,17.8,Imo,Aboh-Mbaise,NA
Measles 2 Dose Coverage (Annualized),2019,31.1,Imo,Ahiazu-Mbaise,NA
Measles 2 Dose Coverage (Annualized),2019,31.6,Imo,Ehime-Mbano,NA
Measles 2 Dose Coverage (Annualized),2019,15.4,Imo,Ezinihitte-Mbaise,NA
Measles 2 Dose Coverage (Annualized),2019,13.1,Imo,Ideato North,NA
Measles 2 Dose Coverage (Annualized),2019,16.1,Imo,Ideato South,NA
Measles 2 Dose Coverage (Annualized),2019,38.8,Imo,Ihitte/Uboma,NA
Measles 2 Dose Coverage (Annualized),2019,2.8,Imo,Ikeduru,NA
Measles 2 Dose Coverage (Annualized),2019,39.4,Imo,Isiala Mbano,NA
Measles 2 Dose Coverage (Annualized),2019,18.8,Imo,Isu,NA
Measles 2 Dose Coverage (Annualized),2019,32.9,Imo,Mbaitoli,NA
Measles 2 Dose Coverage (Annualized),2019,10.7,Imo,Ngor-Okpala,NA
Measles 2 Dose Coverage (Annualized),2019,25,Imo,Njaba,NA
Measles 2 Dose Coverage (Annualized),2019,29.3,Imo,Nkwerre,NA
Measles 2 Dose Coverage (Annualized),2019,17.2,Imo,Nwangele,NA
Measles 2 Dose Coverage (Annualized),2019,35,Imo,Obowo,NA
Measles 2 Dose Coverage (Annualized),2019,23.5,Imo,Oguta,NA
Measles 2 Dose Coverage (Annualized),2019,37.9,Imo,Ohaji/Egbema,NA
Measles 2 Dose Coverage (Annualized),2019,19.2,Imo,Okigwe,NA
Measles 2 Dose Coverage (Annualized),2019,32.6,Imo,Onuimo,NA
Measles 2 Dose Coverage (Annualized),2019,13.9,Imo,Orlu,NA
Measles 2 Dose Coverage (Annualized),2019,12.3,Imo,Orsu,NA
Measles 2 Dose Coverage (Annualized),2019,23.3,Imo,Oru East,NA
Measles 2 Dose Coverage (Annualized),2019,37.8,Imo,Oru West,NA
Measles 2 Dose Coverage (Annualized),2019,23.1,Imo,Owerri Municipal,NA
Measles 2 Dose Coverage (Annualized),2019,27,Imo,Owerri North,NA
Measles 2 Dose Coverage (Annualized),2019,38.4,Imo,Owerri West,NA
Measles 2 Dose Coverage (Annualized),2019,1,Jigawa,Auyo,NA
Measles 2 Dose Coverage (Annualized),2019,0.06,Jigawa,Birnin Kudu,NA
Measles 2 Dose Coverage (Annualized),2019,0.25,Jigawa,Buji,NA
Measles 2 Dose Coverage (Annualized),2019,0.06,Jigawa,Dutse,NA
Measles 2 Dose Coverage (Annualized),2019,0.36,Jigawa,Garki,NA
Measles 2 Dose Coverage (Annualized),2019,0.16,Jigawa,Jahun,NA
Measles 2 Dose Coverage (Annualized),2019,0.11,Jigawa,Kafin Hausa,NA
Measles 2 Dose Coverage (Annualized),2019,3.8,Jigawa,Kazaure,NA
Measles 2 Dose Coverage (Annualized),2019,0.19,Jigawa,Kiyawa,NA
Measles 2 Dose Coverage (Annualized),2019,0.12,Jigawa,Miga,NA
Measles 2 Dose Coverage (Annualized),2019,0.04,Jigawa,Ringim,NA
Measles 2 Dose Coverage (Annualized),2019,4.1,Jigawa,Taura,NA
Measles 2 Dose Coverage (Annualized),2019,0.02,Kaduna,Birnin Gwari,NA
Measles 2 Dose Coverage (Annualized),2019,0.42,Kaduna,Kachia,NA
Measles 2 Dose Coverage (Annualized),2019,0.04,Kaduna,Kaduna North,NA
Measles 2 Dose Coverage (Annualized),2019,0.12,Kaduna,Kajuru,NA
Measles 2 Dose Coverage (Annualized),2019,2.1,Kaduna,Lere,NA
Measles 2 Dose Coverage (Annualized),2019,0.09,Kaduna,Sanga,NA
Measles 2 Dose Coverage (Annualized),2019,0.56,Kaduna,Soba,NA
Measles 2 Dose Coverage (Annualized),2019,0.08,Kebbi,Aleiro,NA
Measles 2 Dose Coverage (Annualized),2019,0.27,Kebbi,Argungu,NA
Measles 2 Dose Coverage (Annualized),2019,0.13,Kebbi,Augie,NA
Measles 2 Dose Coverage (Annualized),2019,0.34,Kebbi,Bagudo,NA
Measles 2 Dose Coverage (Annualized),2019,1.3,Kebbi,Birnin Kebbi,NA
Measles 2 Dose Coverage (Annualized),2019,2.5,Kebbi,Bunza,NA
Measles 2 Dose Coverage (Annualized),2019,0.15,Kebbi,Danko/Wasagu,NA
Measles 2 Dose Coverage (Annualized),2019,2.1,Kebbi,Fakai,NA
Measles 2 Dose Coverage (Annualized),2019,0.76,Kebbi,Gwandu,NA
Measles 2 Dose Coverage (Annualized),2019,0.17,Kebbi,Maiyama,NA
Measles 2 Dose Coverage (Annualized),2019,0.15,Kebbi,Ngaski,NA
Measles 2 Dose Coverage (Annualized),2019,1.1,Kebbi,Sakaba,NA
Measles 2 Dose Coverage (Annualized),2019,0.99,Kebbi,Shanga,NA
Measles 2 Dose Coverage (Annualized),2019,1.1,Kebbi,Suru,NA
Measles 2 Dose Coverage (Annualized),2019,0.68,Kebbi,Zuru,NA
Measles 2 Dose Coverage (Annualized),2019,0.06,Kano,Dala,NA
Measles 2 Dose Coverage (Annualized),2019,1.1,Kano,Dawakin Tofa,NA
